Ad,Impressions,Signups
Intro 2 ad|23/11|18+| Adset,15463,508
Intro 1 |Experiment|All|3/12|Adset,25996,399
R keyword | 18+ F | Duplicate | adset,6244,176
R keyword | 18+ F | adset,5237,165
Teacher | 18+ | F | adset,2666,97
Viral Products|27/11|18+|Adset 2,8176,97
Lookalike | 18+ F+M | Marathi| adset,3994,82
Intro 2 ad|Andhra|5/12|Adset,2476,75
Intro 2 ad|Bengali|5/12|Adset,2435,71
R Instagram|30/11|Adset,2936,70
Student|24/11|Story| Adset,4970,47
Slider Video Adset,800,43
Intro 2 ad|Marathi|5/12|Adset,1657,38
R Keywords|Hindi|22/11| Adset,1118,35
Homemaker|6/12|Reseller words|Adset,1409,32
Teacher Video |Reseller| 6/12 | F | adset,779,28
Intro video Ad,640,23
R | Homemaker | Malyalam | F | Adset,790,19
Homemaker|19/12|F 24+|Adset,679,17
Boutique Selling|19/12|All 24+|Adset,1016,14
R|New Marathi|12/12|18+|Adset,828,13
Store Manager|27/11|Men| Adset,281,12
Auto | 18+ | M | adset,539,8
Delivery | 18+ | M | adset,584,7
Lookalike | 21/11| Boutique| adset,214,6
R |New Bengali|12/12|All|Adset,193,6
Aanchal Intro|Experiment|Female|12/13|Adset,313,6
Slider Video|Karnataka|5/12|Adset,108,5
T Video |Reseller| 19/12 | F | adset,264,4
Viral Products|27/11|18+|Adset,89,4
R Keywords|Hindi 2|22/11| Adset,49,3
Delivery | 18+ | M | adset - 2,201,2
Shop Owner|20/12|Men|Adset,262,2
R-Keywords | Malyalam | 26/11 | adset,38,2
Ra Video|19/12|Men|Adset,151,2
Slider Video|Karnataka|5/12|Adset 1,42,2
Slider Video|Tamil|5/12|Adset,204,1
R-Keywords | Malyalam | F | adset,55,0
R | Tamil Nadu | F + M | adset,11,0
P ads|24/12|Adset,326,0
S Demo video|Ta|5/12|Adset,1,0
Bluetooth Headset V|12/13|18+|Adset,1,0
R|Karnataka|12/12|Adset,3,0